重庆,101040100
重庆永川,101040200
重庆合川,101040300
重庆南川,101040400
重庆江津,101040500
重庆万盛,101040600
重庆渝北,101040700
重庆北碚,101040800
重庆巴南,101040900
重庆长寿,101041000
重庆黔江,101041100
重庆万州,101041300
重庆涪陵,101041400
重庆开县,101041500
重庆城口,101041600
重庆云阳,101041700
重庆巫溪,101041800
重庆奉节,101041900
重庆巫山,101042000
重庆潼南,101042100
重庆垫江,101042200
重庆梁平,101042300
重庆忠县,101042400
重庆石柱,101042500
重庆大足,101042600
重庆荣昌,101042700
重庆铜梁,101042800
重庆璧山,101042900
重庆丰都,101043000
重庆武隆,101043100
重庆彭水,101043200
重庆綦江,101043300
重庆酉阳,101043400
重庆秀山,101043600
